RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8030373,6057,723.431,-1,-1,-1,-1,5752918,621297,7348903,5011860
9,Bayern,9511377,7033,724.691,-1,-1,-1,-1,6929411,745180,8827842,5628700
11,Berlin,2780478,2515,757.729,-1,-1,-1,-1,1980881,324018,2549791,1635266
12,Brandenburg,1718493,1416,681.430,-1,-1,-1,-1,1206387,148964,1549123,960804
4,Bremen,598767,383,878.986,-1,-1,-1,-1,408209,43777,526949,328496
2,Hamburg,1481580,2020,802.045,-1,-1,-1,-1,1055966,125287,1332625,744883
6,Hessen,4699445,3515,747.358,-1,-1,-1,-1,3333132,395631,4207801,2551709
13,Mecklenburg-Vorpommern,1170155,1025,727.646,-1,-1,-1,-1,862853,95768,1074780,668839
3,Niedersachsen,6117001,3651,765.237,-1,-1,-1,-1,4049160,505579,5463335,3889579
5,Nordrhein-Westfalen,14095600,9617,785.392,-1,-1,-1,-1,10116242,880259,12671354,8380303
7,Rheinland-Pfalz,3102902,2149,757.932,-1,-1,-1,-1,2258919,235716,2761719,1885614
10,Saarland,795610,725,806.181,-1,-1,-1,-1,599389,64064,722513,523614
14,Sachsen,2588408,2600,635.665,-1,-1,-1,-1,1944186,235460,2389664,1420811
15,Sachsen-Anhalt,1529815,1359,697.024,-1,-1,-1,-1,1089715,140483,1395839,819108
1,Schleswig-Holstein,2284701,2775,786.804,-1,-1,-1,-1,1605796,186510,2096754,1407043
16,Thüringen,1453341,1654,681.239,-1,-1,-1,-1,1051271,139021,1318956,823664
0,Gesamt,62158449,48541,747.396,-1,-1,-1,-1,44333221,4970238,56420599,36786897
