RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7618087,6895,686.290,-1,-1,-1,-1,5430992,559551,6944327,1145141
9,Bayern,9043309,6056,689.028,-1,-1,-1,-1,6544014,683185,8280539,1555819
11,Berlin,2630805,1628,716.940,-1,-1,-1,-1,1862422,302634,2413109,510549
12,Brandenburg,1630658,124,646.601,-1,-1,-1,-1,1140487,132700,1462825,230349
4,Bremen,563420,0,827.097,-1,-1,-1,-1,384951,35464,499306,86614
2,Hamburg,1416359,1054,766.738,-1,-1,-1,-1,1005337,119800,1277626,183266
6,Hessen,4473986,2358,711.503,-1,-1,-1,-1,3162126,350939,4009457,603563
13,Mecklenburg-Vorpommern,1115755,145,693.818,-1,-1,-1,-1,822698,83492,1013076,161837
3,Niedersachsen,5872637,827,734.667,-1,-1,-1,-1,3850544,472246,5204346,846099
5,Nordrhein-Westfalen,13466133,2219,750.319,-1,-1,-1,-1,9610066,794976,12068118,2124629
7,Rheinland-Pfalz,2965358,802,724.335,-1,-1,-1,-1,2149119,214941,2632001,430775
10,Saarland,762564,23,772.696,-1,-1,-1,-1,575169,57651,689998,123148
14,Sachsen,2453570,629,602.551,-1,-1,-1,-1,1834053,213465,2257904,350947
15,Sachsen-Anhalt,1456637,63,663.682,-1,-1,-1,-1,1037969,122432,1311259,215454
1,Schleswig-Holstein,2191436,227,754.686,-1,-1,-1,-1,1531116,169745,1984288,336523
16,Thüringen,1366499,174,640.533,-1,-1,-1,-1,983333,128432,1241301,250938
0,Gesamt,59221785,23224,712.085,-1,-1,-1,-1,42008044,4524469,53468313,9167000
