RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7528769,6980,678.243,-1,-1,-1,-1,5355802,555592,6899796,717964
9,Bayern,8943917,9509,681.455,-1,-1,-1,-1,6458673,678368,8220620,994475
11,Berlin,2603674,3078,709.546,-1,-1,-1,-1,1839931,300237,2398957,381236
12,Brandenburg,1616123,1533,640.837,-1,-1,-1,-1,1127852,132245,1455281,150276
4,Bremen,558942,627,820.523,-1,-1,-1,-1,380999,35416,496825,67254
2,Hamburg,1401315,1516,758.594,-1,-1,-1,-1,995209,119339,1270582,131181
6,Hessen,4430348,4006,704.563,-1,-1,-1,-1,3125916,347572,3987621,418083
13,Mecklenburg-Vorpommern,1101541,1611,684.979,-1,-1,-1,-1,810294,82911,1006879,109879
3,Niedersachsen,5825008,4253,728.708,-1,-1,-1,-1,3806599,471692,5173728,574062
5,Nordrhein-Westfalen,13400687,9644,746.672,-1,-1,-1,-1,9543997,796090,12028908,1392643
7,Rheinland-Pfalz,2944440,1960,719.226,-1,-1,-1,-1,2130875,214384,2619105,289109
10,Saarland,755759,694,765.801,-1,-1,-1,-1,569712,57490,687214,82733
14,Sachsen,2431862,2193,597.220,-1,-1,-1,-1,1814110,212396,2244981,221569
15,Sachsen-Anhalt,1435784,1534,654.181,-1,-1,-1,-1,1021170,120297,1301740,141524
1,Schleswig-Holstein,2178190,1251,750.124,-1,-1,-1,-1,1519022,169351,1976335,245226
16,Thüringen,1346532,1109,631.174,-1,-1,-1,-1,969842,127035,1233878,184048
0,Gesamt,58697074,51509,705.776,-1,-1,-1,-1,41553308,4503195,53180886,6106025
