RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8199021,3544,738.624,-1,-1,-1,-1,5895524,638909,914,425
9,Bayern,9710013,3060,739.825,-1,-1,-1,-1,7104983,762435,1299,872
11,Berlin,2839403,1580,773.787,-1,-1,-1,-1,2029016,329838,371,329
12,Brandenburg,1754255,605,695.610,-1,-1,-1,-1,1236558,153234,294,65
4,Bremen,612935,386,899.784,-1,-1,-1,-1,419592,45577,145,7
2,Hamburg,1535919,744,831.461,-1,-1,-1,-1,1103133,129648,173,78
6,Hessen,4821345,2081,766.744,-1,-1,-1,-1,3440165,406924,429,248
13,Mecklenburg-Vorpommern,1195657,1168,743.504,-1,-1,-1,-1,883505,99146,212,107
3,Niedersachsen,6269733,5026,784.343,-1,-1,-1,-1,4184828,515569,651,396
5,Nordrhein-Westfalen,14391565,5031,801.883,-1,-1,-1,-1,10373075,907088,1351,399
7,Rheinland-Pfalz,3174251,4884,775.361,-1,-1,-1,-1,2318156,242015,478,143
10,Saarland,810447,571,821.216,-1,-1,-1,-1,611346,65723,75,72
14,Sachsen,2647964,1847,650.290,-1,-1,-1,-1,1995015,241814,492,545
15,Sachsen-Anhalt,1566923,718,713.931,-1,-1,-1,-1,1119660,146456,328,208
1,Schleswig-Holstein,2339070,1204,805.528,-1,-1,-1,-1,1654112,191083,383,128
16,Thüringen,1485880,1372,696.492,-1,-1,-1,-1,1079158,141159,205,139
0,Gesamt,63556183,33821,764.202,-1,-1,-1,-1,45537903,5099941,7806,4161
