RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7136163,13919,642.875,-1,-1,-1,-1,5020105,549817,6433377,60436
9,Bayern,8374576,14395,638.076,-1,-1,-1,-1,5969211,665201,7563806,40259
11,Berlin,2440388,4026,665.048,-1,-1,-1,-1,1712077,281978,2197651,20868
12,Brandenburg,1530890,3964,607.040,-1,-1,-1,-1,1054109,131845,1345562,5142
4,Bremen,527792,883,774.795,-1,-1,-1,-1,356898,34471,458907,5351
2,Hamburg,1304167,1751,706.003,-1,-1,-1,-1,919252,118228,1153397,3474
6,Hessen,4197806,7781,667.582,-1,-1,-1,-1,2923644,342365,3690748,28060
13,Mecklenburg-Vorpommern,1043877,2378,649.122,-1,-1,-1,-1,760970,82195,933510,3227
3,Niedersachsen,5581079,9659,698.193,-1,-1,-1,-1,3595985,470382,4801839,9672
5,Nordrhein-Westfalen,12822771,20751,714.471,-1,-1,-1,-1,9036978,789691,11077857,91061
7,Rheinland-Pfalz,2809383,5021,686.236,-1,-1,-1,-1,2015960,212006,2436448,11233
10,Saarland,720440,1165,730.013,-1,-1,-1,-1,539797,57297,643859,3224
14,Sachsen,2305460,5675,566.178,-1,-1,-1,-1,1701701,205534,2083765,5854
15,Sachsen-Anhalt,1361216,3215,620.206,-1,-1,-1,-1,956790,118555,1208592,10084
1,Schleswig-Holstein,2088812,3450,719.344,-1,-1,-1,-1,1440449,168048,1837930,22145
16,Thüringen,1266568,2309,593.691,-1,-1,-1,-1,906061,125210,1154594,8296
0,Gesamt,55703730,100416,669.784,-1,-1,-1,-1,38991699,4435406,49197447,328459
