RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8043263,5508,724.593,-1,-1,-1,-1,5763542,623151,7379199,5151351
9,Bayern,9528865,8472,726.023,-1,-1,-1,-1,6944353,747490,8872148,5831781
11,Berlin,2785101,2176,758.988,-1,-1,-1,-1,1984712,324663,2561236,1693995
12,Brandenburg,1722401,1864,682.979,-1,-1,-1,-1,1209650,149525,1557278,1004796
4,Bremen,600144,424,881.007,-1,-1,-1,-1,409220,43999,529412,342222
2,Hamburg,1485553,1349,804.196,-1,-1,-1,-1,1059568,125571,1336864,780392
6,Hessen,4711113,3822,749.213,-1,-1,-1,-1,3343301,396996,4226371,2657439
13,Mecklenburg-Vorpommern,1173139,1705,729.501,-1,-1,-1,-1,865335,96229,1080131,699900
3,Niedersachsen,6129586,4748,766.811,-1,-1,-1,-1,4060297,506928,5488867,4032752
5,Nordrhein-Westfalen,14127840,8636,787.188,-1,-1,-1,-1,10143667,883865,12731628,8688033
7,Rheinland-Pfalz,3108995,2656,759.421,-1,-1,-1,-1,2264180,236483,2775570,1944380
10,Saarland,797172,751,807.764,-1,-1,-1,-1,600654,64327,725303,539130
14,Sachsen,2594631,3021,637.193,-1,-1,-1,-1,1949320,236436,2400204,1479687
15,Sachsen-Anhalt,1534053,1629,698.955,-1,-1,-1,-1,1092745,141647,1404707,863983
1,Schleswig-Holstein,2289039,2236,788.298,-1,-1,-1,-1,1609525,187093,2107155,1475165
16,Thüringen,1456978,1524,682.944,-1,-1,-1,-1,1054468,139354,1325771,857296
0,Gesamt,62288513,50604,748.960,-1,-1,-1,-1,44443545,4986993,56685260,38156620
