RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8209585,5243,739.576,-1,-1,-1,-1,5902596,640348,623,1107
9,Bayern,9723112,5609,740.823,-1,-1,-1,-1,7114563,763283,950,2041
11,Berlin,2844544,2194,775.188,-1,-1,-1,-1,2032967,330061,246,997
12,Brandenburg,1756415,1159,696.467,-1,-1,-1,-1,1238019,153352,166,224
4,Bremen,614077,462,901.461,-1,-1,-1,-1,420461,45729,73,175
2,Hamburg,1539033,962,833.147,-1,-1,-1,-1,1105784,129842,87,328
6,Hessen,4828760,3193,767.923,-1,-1,-1,-1,3445827,407348,391,1057
13,Mecklenburg-Vorpommern,1197133,1470,744.422,-1,-1,-1,-1,884486,99307,110,399
3,Niedersachsen,6277820,5982,785.355,-1,-1,-1,-1,4191058,516441,543,705
5,Nordrhein-Westfalen,14412763,7049,803.064,-1,-1,-1,-1,10389296,908925,942,1930
7,Rheinland-Pfalz,3178513,5368,776.402,-1,-1,-1,-1,2321499,242375,254,2502
10,Saarland,811241,725,822.020,-1,-1,-1,-1,611912,65793,42,413
14,Sachsen,2651477,2733,651.153,-1,-1,-1,-1,1997470,241961,305,1158
15,Sachsen-Anhalt,1568947,1068,714.853,-1,-1,-1,-1,1121082,146622,153,492
1,Schleswig-Holstein,2341899,1789,806.502,-1,-1,-1,-1,1656129,191300,294,582
16,Thüringen,1488074,2097,697.520,-1,-1,-1,-1,1080507,141212,117,468
0,Gesamt,63645385,47132,765.275,-1,-1,-1,-1,45603885,5107231,5301,14578
