RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8213240,5811,739.905,-1,-1,-1,-1,5905237,640723,697,2904
9,Bayern,9727994,6315,741.195,-1,-1,-1,-1,7118439,763557,876,4013
11,Berlin,2846084,2334,775.607,-1,-1,-1,-1,2034293,330119,403,1561
12,Brandenburg,1757307,1303,696.821,-1,-1,-1,-1,1238671,153435,145,533
4,Bremen,614484,486,902.058,-1,-1,-1,-1,420770,45790,62,293
2,Hamburg,1540197,1049,833.777,-1,-1,-1,-1,1106747,129919,333,646
6,Hessen,4831834,3413,768.412,-1,-1,-1,-1,3448534,407488,344,1796
13,Mecklenburg-Vorpommern,1197773,1576,744.820,-1,-1,-1,-1,884934,99387,136,893
3,Niedersachsen,6281247,6398,785.784,-1,-1,-1,-1,4193661,516808,357,3731
5,Nordrhein-Westfalen,14421170,7629,803.532,-1,-1,-1,-1,10395970,909567,806,4003
7,Rheinland-Pfalz,3179797,5495,776.715,-1,-1,-1,-1,2322499,242523,139,3156
10,Saarland,811551,748,822.334,-1,-1,-1,-1,612162,65822,55,547
14,Sachsen,2653053,3123,651.540,-1,-1,-1,-1,1998571,242033,400,1853
15,Sachsen-Anhalt,1569843,1174,715.261,-1,-1,-1,-1,1121799,146671,122,827
1,Schleswig-Holstein,2342942,1909,806.861,-1,-1,-1,-1,1656959,191392,283,1248
16,Thüringen,1488801,2259,697.861,-1,-1,-1,-1,1081041,141238,122,1037
0,Gesamt,63679341,51052,765.683,-1,-1,-1,-1,45630544,5109807,5280,29041
