RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6216722,17227,560.045,-1,-1,-1,-1,4293980,517346,4305883,45825
9,Bayern,7195065,41957,548.206,-1,-1,-1,-1,5029532,591572,5042845,33383
11,Berlin,2061555,8224,561.810,-1,-1,-1,-1,1417904,229179,1389336,19581
12,Brandenburg,1338333,2907,530.686,-1,-1,-1,-1,906558,118365,900273,14268
4,Bremen,445869,2143,654.533,-1,-1,-1,-1,303498,24152,272860,4697
2,Hamburg,1037941,3276,561.884,-1,-1,-1,-1,709207,95833,688298,3442
6,Hessen,3509649,12838,558.143,-1,-1,-1,-1,2393137,269682,2388081,25500
13,Mecklenburg-Vorpommern,906795,3956,563.879,-1,-1,-1,-1,654845,72368,658749,6046
3,Niedersachsen,4684560,26348,586.038,-1,-1,-1,-1,2923117,386275,2993913,29553
5,Nordrhein-Westfalen,10669748,46534,594.507,-1,-1,-1,-1,7222307,684752,7652421,68987
7,Rheinland-Pfalz,2364327,8526,577.524,-1,-1,-1,-1,1652006,183389,1547930,17992
10,Saarland,595124,1066,603.032,-1,-1,-1,-1,444945,43314,437339,1244
14,Sachsen,1975970,6864,485.261,-1,-1,-1,-1,1431038,176894,1527527,9432
15,Sachsen-Anhalt,1169770,3985,532.978,-1,-1,-1,-1,814642,106046,828152,8044
1,Schleswig-Holstein,1749095,2383,602.353,-1,-1,-1,-1,1186535,134901,1164268,3417
16,Thüringen,1125661,1886,527.643,-1,-1,-1,-1,797615,122599,794758,9318
0,Gesamt,47213139,190465,567.693,-1,-1,-1,-1,32248146,3833985,32696003,301498
