RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7781071,6746,700.973,-1,-1,-1,-1,5549871,588333,7060270,2742831
9,Bayern,9238741,9224,703.918,-1,-1,-1,-1,6694034,715501,8457345,3325729
11,Berlin,2707563,4353,737.858,-1,-1,-1,-1,1915460,320362,2491674,969467
12,Brandenburg,1673371,812,663.538,-1,-1,-1,-1,1170652,141538,1485743,525869
4,Bremen,578097,716,848.643,-1,-1,-1,-1,393861,39786,506499,164294
2,Hamburg,1444501,960,781.972,-1,-1,-1,-1,1024500,122536,1295512,377439
6,Hessen,4566297,3929,726.183,-1,-1,-1,-1,3225959,373692,4071266,1361953
13,Mecklenburg-Vorpommern,1142875,1076,710.682,-1,-1,-1,-1,841331,90796,1029122,364000
3,Niedersachsen,5972934,3403,747.214,-1,-1,-1,-1,3925977,488991,5280817,2013252
5,Nordrhein-Westfalen,13716213,4646,764.253,-1,-1,-1,-1,9790601,838250,12261450,4801994
7,Rheinland-Pfalz,3024397,2893,738.756,-1,-1,-1,-1,2194361,224467,2665852,1031133
10,Saarland,776660,757,786.980,-1,-1,-1,-1,584402,60863,698738,289968
14,Sachsen,2510629,3351,616.564,-1,-1,-1,-1,1880617,222359,2293419,800000
15,Sachsen-Anhalt,1496321,1925,681.763,-1,-1,-1,-1,1064990,132555,1336424,491313
1,Schleswig-Holstein,2229028,873,767.632,-1,-1,-1,-1,1558186,178855,2025632,753511
16,Thüringen,1406310,1767,659.194,-1,-1,-1,-1,1010967,134651,1262258,475211
0,Gesamt,60462369,47480,727.002,-1,-1,-1,-1,42911866,4756603,54402261,20541443
