RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4200570,71307,378.416,-1,-1,-1,-1,2882869,310489,1395236,68944
9,Bayern,5218875,78406,397.637,-1,-1,-1,-1,3696184,360166,1541184,88216
11,Berlin,1313740,30054,358.017,-1,-1,-1,-1,905400,105120,517147,25080
12,Brandenburg,851532,16063,337.656,-1,-1,-1,-1,575834,65727,339153,16169
4,Bremen,268555,5302,394.237,-1,-1,-1,-1,177032,13677,109970,4269
2,Hamburg,688514,7179,372.723,-1,-1,-1,-1,469333,63352,218535,12826
6,Hessen,2441929,46450,388.343,-1,-1,-1,-1,1625631,193012,701159,32201
13,Mecklenburg-Vorpommern,652923,10013,406.012,-1,-1,-1,-1,473242,49247,191591,12158
3,Niedersachsen,3179996,52715,397.817,-1,-1,-1,-1,2064588,205946,874916,54529
5,Nordrhein-Westfalen,7359823,132791,410.081,-1,-1,-1,-1,5064639,451432,2093794,102112
7,Rheinland-Pfalz,1516763,28299,370.493,-1,-1,-1,-1,1055699,94979,581504,24516
10,Saarland,424441,5493,430.081,-1,-1,-1,-1,327140,29967,135359,9073
14,Sachsen,1369335,25770,336.283,-1,-1,-1,-1,960856,115088,662852,25136
15,Sachsen-Anhalt,811566,15577,369.771,-1,-1,-1,-1,577399,60259,275687,11816
1,Schleswig-Holstein,1039642,6327,358.031,-1,-1,-1,-1,744608,64859,429075,9874
16,Thüringen,757460,16274,355.052,-1,-1,-1,-1,543399,66188,343910,8709
0,Gesamt,32178636,550376,386.917,-1,-1,-1,-1,22146966,2311338,10432968,508685
