RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7736585,10582,696.965,-1,-1,-1,-1,5520359,576832,7020746,2131401
9,Bayern,9186190,14502,699.914,-1,-1,-1,-1,6655091,704976,8396867,2757824
11,Berlin,2675359,5059,729.082,-1,-1,-1,-1,1893283,311838,2445249,819721
12,Brandenburg,1662928,3017,659.397,-1,-1,-1,-1,1163739,138894,1479025,435549
4,Bremen,573323,988,841.634,-1,-1,-1,-1,391365,37895,503797,131848
2,Hamburg,1438447,1915,778.695,-1,-1,-1,-1,1020242,121744,1290633,311234
6,Hessen,4537817,6178,721.654,-1,-1,-1,-1,3207150,365389,4049833,1079431
13,Mecklenburg-Vorpommern,1136448,2156,706.686,-1,-1,-1,-1,837019,88906,1023766,300093
3,Niedersachsen,5949288,6619,744.256,-1,-1,-1,-1,3909800,483938,5257446,1579194
5,Nordrhein-Westfalen,13655614,11765,760.876,-1,-1,-1,-1,9749083,823844,12206581,3898096
7,Rheinland-Pfalz,3007415,2949,734.608,-1,-1,-1,-1,2182564,220228,2654679,798251
10,Saarland,772685,1052,782.952,-1,-1,-1,-1,581883,59744,695696,232044
14,Sachsen,2492074,4274,612.007,-1,-1,-1,-1,1866094,218672,2281405,648348
15,Sachsen-Anhalt,1487090,2546,677.557,-1,-1,-1,-1,1058794,130095,1328731,406324
1,Schleswig-Holstein,2221147,3172,764.918,-1,-1,-1,-1,1552358,176990,2019675,650154
16,Thüringen,1394779,3424,653.789,-1,-1,-1,-1,1003036,132654,1254424,400294
0,Gesamt,60123901,80542,722.932,-1,-1,-1,-1,42677341,4675675,54088478,16619446
