RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7631369,10944,687.486,-1,-1,-1,-1,5441879,560364,6949850,1208225
9,Bayern,9056725,12864,690.050,-1,-1,-1,-1,6555358,684212,8287437,1638838
11,Berlin,2637955,6255,718.889,-1,-1,-1,-1,1868017,303689,2416127,536048
12,Brandenburg,1633342,2424,647.665,-1,-1,-1,-1,1142763,132866,1464029,244003
4,Bremen,564270,754,828.345,-1,-1,-1,-1,385590,35494,499584,89608
2,Hamburg,1418615,1753,767.959,-1,-1,-1,-1,1006675,119917,1278656,191408
6,Hessen,4480341,4822,712.513,-1,-1,-1,-1,3166925,352075,4012124,633896
13,Mecklenburg-Vorpommern,1118218,2399,695.350,-1,-1,-1,-1,824609,83894,1014148,172145
3,Niedersachsen,5880487,6157,735.649,-1,-1,-1,-1,3857642,472496,5207948,891349
5,Nordrhein-Westfalen,13477113,11480,750.930,-1,-1,-1,-1,9620725,795382,12072345,2246315
7,Rheinland-Pfalz,2971051,2642,725.726,-1,-1,-1,-1,2154008,215103,2633877,459174
10,Saarland,763514,860,773.659,-1,-1,-1,-1,575878,57752,690437,129528
14,Sachsen,2457209,3442,603.445,-1,-1,-1,-1,1837319,213648,2259599,369879
15,Sachsen-Anhalt,1459577,2416,665.021,-1,-1,-1,-1,1040020,123046,1312430,229931
1,Schleswig-Holstein,2192930,1276,755.200,-1,-1,-1,-1,1532449,169828,1985059,346329
16,Thüringen,1368159,1633,641.311,-1,-1,-1,-1,984735,128518,1242028,258830
0,Gesamt,59305574,72214,713.093,-1,-1,-1,-1,42078351,4531115,53504549,9658740
