RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
8,Baden-Württemberg,100163,6708,9,52522,29956,3348,19421
9,Bayern,198607,15034,15,47873,102769,3487,60466
11,Berlin,48544,2546,13,30563,17738,105,24288
12,Brandenburg,37993,4195,15,9067,28119,343,4502
4,Bremen,11033,899,16,1246,5427,89,4135
2,Hamburg,21951,1706,12,7822,9606,2270,5348
6,Hessen,69925,4252,11,18056,39725,3952,27404
13,Mecklenburg-Vorpommern,37570,1140,23,3454,18238,706,15991
3,Niedersachsen,86035,7261,11,16901,45644,13058,38497
5,Nordrhein-Westfalen,193857,15395,11,0,94237,0,99628
7,Rheinland-Pfalz,73749,9270,18,22896,33721,20,17121
10,Saarland,14421,1120,15,10634,2421,0,4899
14,Sachsen,43451,4119,11,3555,34444,1,9006
15,Sachsen-Anhalt,33182,1459,15,10605,16378,1352,14678
1,Schleswig-Holstein,55670,2563,19,15838,21709,5456,18262
16,Thüringen,22009,2092,10,4383,14578,413,2582
0,Gesamt,1048160,79759,13,255415,514710,34600,366228
