RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7520618,3304,677.509,-1,-1,-1,-1,5348966,555403,6895330,682084
9,Bayern,8934406,3472,680.730,-1,-1,-1,-1,6450162,678149,8214753,937668
11,Berlin,2600499,1539,708.681,-1,-1,-1,-1,1837120,300140,2397082,364935
12,Brandenburg,1614471,64,640.182,-1,-1,-1,-1,1126317,132230,1454284,141061
4,Bremen,558221,1,819.465,-1,-1,-1,-1,380357,35407,496545,64180
2,Hamburg,1398799,5,757.232,-1,-1,-1,-1,993721,119267,1269371,124430
6,Hessen,4425765,1423,703.834,-1,-1,-1,-1,3121928,347308,3984977,397541
13,Mecklenburg-Vorpommern,1099840,19,683.921,-1,-1,-1,-1,808776,82890,1005985,102863
3,Niedersachsen,5819818,522,728.059,-1,-1,-1,-1,3801818,471670,5170430,543442
5,Nordrhein-Westfalen,13387508,1492,745.938,-1,-1,-1,-1,9532482,795921,12020264,1321808
7,Rheinland-Pfalz,2941003,165,718.386,-1,-1,-1,-1,2128111,214375,2617366,273540
10,Saarland,754993,8,765.025,-1,-1,-1,-1,569098,57471,686910,78676
14,Sachsen,2429636,51,596.673,-1,-1,-1,-1,1812073,212281,2243528,208365
15,Sachsen-Anhalt,1433435,26,653.110,-1,-1,-1,-1,1019040,120166,1300369,130306
1,Schleswig-Holstein,2176855,79,749.664,-1,-1,-1,-1,1517808,169324,1975685,238113
16,Thüringen,1345397,127,630.642,-1,-1,-1,-1,968804,127023,1233409,179014
0,Gesamt,58635434,12297,705.035,-1,-1,-1,-1,41499871,4501807,53144709,5792095
