RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4069059,40749,366.569,-1,-1,-1,-1,2801445,297483,1272688,31985
9,Bayern,5054287,63619,385.096,-1,-1,-1,-1,3592455,340809,1403669,25848
11,Berlin,1254453,15071,341.860,-1,-1,-1,-1,868371,94846,473362,9089
12,Brandenburg,821037,8187,325.564,-1,-1,-1,-1,556279,65509,308203,6307
4,Bremen,259328,1751,380.692,-1,-1,-1,-1,171557,13536,102240,2766
2,Hamburg,673581,8065,364.639,-1,-1,-1,-1,461420,61162,195832,6702
6,Hessen,2354911,26288,374.504,-1,-1,-1,-1,1568014,183036,649598,10476
13,Mecklenburg-Vorpommern,633007,6274,393.627,-1,-1,-1,-1,460345,45758,171433,2959
3,Niedersachsen,3081896,30208,385.545,-1,-1,-1,-1,2006557,202063,778479,9880
5,Nordrhein-Westfalen,7097733,74679,395.478,-1,-1,-1,-1,4917169,421963,1911532,30669
7,Rheinland-Pfalz,1460041,14945,356.638,-1,-1,-1,-1,1021783,87229,538261,10672
10,Saarland,412538,2869,418.019,-1,-1,-1,-1,320626,29315,119243,4493
14,Sachsen,1318612,16463,323.826,-1,-1,-1,-1,938987,95411,622073,11928
15,Sachsen-Anhalt,785040,8744,357.685,-1,-1,-1,-1,559515,55996,254430,5994
1,Schleswig-Holstein,1014093,11874,349.233,-1,-1,-1,-1,730108,61620,404951,10036
16,Thüringen,726813,6814,340.686,-1,-1,-1,-1,524733,59029,325859,3329
0,Gesamt,31094584,338137,373.883,-1,-1,-1,-1,21501257,2173111,9548021,184804
