RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7911829,14265,712.752,-1,-1,-1,-1,5654277,606509,7191753,3926054
9,Bayern,9386728,17800,715.194,-1,-1,-1,-1,6819936,732179,8618014,4537362
11,Berlin,2733261,5437,744.861,-1,-1,-1,-1,1941198,318750,2480490,1289680
12,Brandenburg,1698282,2453,673.416,-1,-1,-1,-1,1189998,145701,1510603,752286
4,Bremen,588913,1075,864.520,-1,-1,-1,-1,401083,42284,514100,241901
2,Hamburg,1462004,1804,791.448,-1,-1,-1,-1,1038894,123805,1312044,543486
6,Hessen,4626548,6733,735.765,-1,-1,-1,-1,3272010,385728,4131128,1978165
13,Mecklenburg-Vorpommern,1157724,1217,719.916,-1,-1,-1,-1,852870,93558,1046853,513158
3,Niedersachsen,6044729,6865,756.195,-1,-1,-1,-1,3985508,497921,5360772,3001626
5,Nordrhein-Westfalen,13904677,15880,774.754,-1,-1,-1,-1,9948232,862460,12428735,6805419
7,Rheinland-Pfalz,3060235,4925,747.510,-1,-1,-1,-1,2222542,230670,2702994,1475816
10,Saarland,785938,1175,796.381,-1,-1,-1,-1,591636,62455,708008,407559
14,Sachsen,2551312,3985,626.555,-1,-1,-1,-1,1914000,228993,2333139,1131830
15,Sachsen-Anhalt,1513191,1860,689.449,-1,-1,-1,-1,1077550,136321,1360631,658158
1,Schleswig-Holstein,2257248,2092,777.350,-1,-1,-1,-1,1581547,183425,2054732,1088968
16,Thüringen,1432699,2237,671.564,-1,-1,-1,-1,1033033,137326,1282246,645908
0,Gesamt,61313890,89817,737.241,-1,-1,-1,-1,43611612,4871176,55217393,29084094
