RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7328255,6813,660.180,-1,-1,-1,-1,5181661,552583,6665214,180951
9,Bayern,8620326,10327,656.800,-1,-1,-1,-1,6173443,672197,7877186,157501
11,Berlin,2506923,2819,683.180,-1,-1,-1,-1,1762323,290849,2296136,97685
12,Brandenburg,1576239,1466,625.022,-1,-1,-1,-1,1092171,132003,1406742,21964
4,Bremen,545824,667,801.266,-1,-1,-1,-1,370291,35187,479579,15105
2,Hamburg,1351746,1292,731.760,-1,-1,-1,-1,955874,118656,1211920,19481
6,Hessen,4313432,2824,685.970,-1,-1,-1,-1,3020024,345267,3850307,91823
13,Mecklenburg-Vorpommern,1069555,1408,665.089,-1,-1,-1,-1,781860,82632,971496,15829
3,Niedersachsen,5712142,5595,714.589,-1,-1,-1,-1,3702409,471015,5006959,68218
5,Nordrhein-Westfalen,13136562,8112,731.955,-1,-1,-1,-1,9305138,792957,11639333,306809
7,Rheinland-Pfalz,2886340,1736,705.034,-1,-1,-1,-1,2079069,214110,2536654,68809
10,Saarland,738966,743,748.785,-1,-1,-1,-1,554884,57357,667735,13570
14,Sachsen,2370615,3070,582.179,-1,-1,-1,-1,1757469,210163,2173204,29798
15,Sachsen-Anhalt,1397649,1675,636.805,-1,-1,-1,-1,986746,119224,1253757,31019
1,Schleswig-Holstein,2133781,1459,734.831,-1,-1,-1,-1,1479289,168598,1922393,67054
16,Thüringen,1301178,1429,609.914,-1,-1,-1,-1,932093,126491,1191723,29869
0,Gesamt,57182706,51494,687.567,-1,-1,-1,-1,40217197,4471957,51327197,1215759
