RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7432195,3241,669.543,-1,-1,-1,-1,5271512,554211,6813195,338822
9,Bayern,8778739,6842,668.870,-1,-1,-1,-1,6312009,675731,8093285,409873
11,Berlin,2555663,1681,696.463,-1,-1,-1,-1,1797408,298579,2359518,209539
12,Brandenburg,1598608,574,633.892,-1,-1,-1,-1,1112149,132105,1439166,59842
4,Bremen,553631,197,812.727,-1,-1,-1,-1,376474,35385,491658,35326
2,Hamburg,1381862,797,748.063,-1,-1,-1,-1,980704,119017,1252479,63648
6,Hessen,4373903,1771,695.586,-1,-1,-1,-1,3074414,346383,3940302,204291
13,Mecklenburg-Vorpommern,1087149,602,676.030,-1,-1,-1,-1,797198,82803,994041,44855
3,Niedersachsen,5772828,2148,722.181,-1,-1,-1,-1,3757731,471310,5110861,250908
5,Nordrhein-Westfalen,13283945,4679,740.167,-1,-1,-1,-1,9438623,793939,11894776,663120
7,Rheinland-Pfalz,2919538,732,713.143,-1,-1,-1,-1,2108432,214296,2591415,143318
10,Saarland,747446,212,757.377,-1,-1,-1,-1,562335,57422,680221,33461
14,Sachsen,2405651,1611,590.783,-1,-1,-1,-1,1789643,211519,2222249,91426
15,Sachsen-Anhalt,1416842,610,645.550,-1,-1,-1,-1,1003893,119632,1283139,60906
1,Schleswig-Holstein,2160388,797,743.993,-1,-1,-1,-1,1502582,168952,1960171,138411
16,Thüringen,1324730,301,620.954,-1,-1,-1,-1,951623,126758,1217787,82184
0,Gesamt,57986934,26802,697.237,-1,-1,-1,-1,40919679,4490811,52522200,2830847
