RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8215033,6135,740.067,-1,-1,-1,-1,5906370,641038,350,3477
9,Bayern,9729866,6544,741.338,-1,-1,-1,-1,7119958,763658,392,4894
11,Berlin,2846885,2446,775.826,-1,-1,-1,-1,2034853,330168,163,1778
12,Brandenburg,1757621,1370,696.945,-1,-1,-1,-1,1238907,153445,98,611
4,Bremen,614644,490,902.293,-1,-1,-1,-1,420896,45820,36,311
2,Hamburg,1540521,1076,833.952,-1,-1,-1,-1,1107004,129951,66,749
6,Hessen,4833544,3660,768.684,-1,-1,-1,-1,3449900,407568,393,2380
13,Mecklenburg-Vorpommern,1198049,1666,744.991,-1,-1,-1,-1,885092,99415,77,1041
3,Niedersachsen,6282731,6519,785.969,-1,-1,-1,-1,4194852,516979,298,4225
5,Nordrhein-Westfalen,14426821,8010,803.847,-1,-1,-1,-1,10400335,909996,1594,4930
7,Rheinland-Pfalz,3180873,5565,776.978,-1,-1,-1,-1,2323407,242617,129,3383
10,Saarland,811698,760,822.483,-1,-1,-1,-1,612288,65830,50,597
14,Sachsen,2653748,3269,651.711,-1,-1,-1,-1,1999075,242068,196,2196
15,Sachsen-Anhalt,1570191,1238,715.420,-1,-1,-1,-1,1122044,146701,105,969
1,Schleswig-Holstein,2343312,1960,806.989,-1,-1,-1,-1,1657246,191424,63,1424
16,Thüringen,1489132,2374,698.016,-1,-1,-1,-1,1081238,141251,74,1252
0,Gesamt,63696704,53112,765.892,-1,-1,-1,-1,45643732,5111265,4085,34217
