RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7978644,2410,718.771,-1,-1,-1,-1,5709841,614755,7263253,4534479
9,Bayern,9456601,4464,720.517,-1,-1,-1,-1,6881402,739060,8710671,5105657
11,Berlin,2760391,1058,752.254,-1,-1,-1,-1,1964230,321331,2506664,1437963
12,Brandenburg,1706295,239,676.593,-1,-1,-1,-1,1196432,146984,1521665,832391
4,Bremen,593753,465,871.625,-1,-1,-1,-1,404691,42919,518793,279253
2,Hamburg,1470861,209,796.242,-1,-1,-1,-1,1046607,124433,1320782,621486
6,Hessen,4665127,1888,741.900,-1,-1,-1,-1,3303933,391035,4161086,2246523
13,Mecklenburg-Vorpommern,1162745,392,723.038,-1,-1,-1,-1,856890,94439,1057106,572446
3,Niedersachsen,6079546,1670,760.551,-1,-1,-1,-1,4016028,501680,5398340,3429374
5,Nordrhein-Westfalen,14000387,2160,780.087,-1,-1,-1,-1,10033614,870606,12513686,7516213
7,Rheinland-Pfalz,3077908,702,751.827,-1,-1,-1,-1,2237838,232648,2721398,1647533
10,Saarland,790090,492,800.588,-1,-1,-1,-1,595106,63030,712497,456653
14,Sachsen,2567046,886,630.419,-1,-1,-1,-1,1926662,231807,2352651,1244500
15,Sachsen-Anhalt,1520655,332,692.850,-1,-1,-1,-1,1082767,138430,1375660,733635
1,Schleswig-Holstein,2269096,15,781.430,-1,-1,-1,-1,1592050,184707,2065700,1200822
16,Thüringen,1442089,593,675.965,-1,-1,-1,-1,1041461,137935,1294687,715836
0,Gesamt,61741444,17976,742.382,-1,-1,-1,-1,43978143,4919026,55676652,32672203
