RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,4664227,29122,420.186,-1,-1,-1,-1,3166733,391558,1979973,42552
9,Bayern,5547641,20003,422.686,-1,-1,-1,-1,3900769,391704,2358106,73682
11,Berlin,1512572,12037,412.202,-1,-1,-1,-1,1025172,153139,657337,10329
12,Brandenburg,963300,6944,381.975,-1,-1,-1,-1,655479,73964,461668,10857
4,Bremen,302765,2789,444.457,-1,-1,-1,-1,195733,18286,148836,2841
2,Hamburg,752106,1410,407.148,-1,-1,-1,-1,503355,79217,325565,11310
6,Hessen,2700466,13701,429.458,-1,-1,-1,-1,1805370,223542,1014654,22883
13,Mecklenburg-Vorpommern,702718,3660,436.976,-1,-1,-1,-1,506882,57873,289455,9075
3,Niedersachsen,3432511,14624,429.407,-1,-1,-1,-1,2198137,217715,1303278,32897
5,Nordrhein-Westfalen,8177681,19450,455.652,-1,-1,-1,-1,5486314,627852,3176498,63012
7,Rheinland-Pfalz,1680589,11779,410.510,-1,-1,-1,-1,1153996,127231,790008,15832
10,Saarland,455104,2122,461.151,-1,-1,-1,-1,346245,33387,208863,5683
14,Sachsen,1535247,11736,377.028,-1,-1,-1,-1,1056442,155566,865223,12915
15,Sachsen-Anhalt,888299,5993,404.732,-1,-1,-1,-1,630529,72197,387642,11398
1,Schleswig-Holstein,1240094,7431,427.063,-1,-1,-1,-1,860831,85443,580279,5897
16,Thüringen,868818,8661,407.250,-1,-1,-1,-1,609063,102175,420697,3663
0,Gesamt,35531114,173619,427.228,-1,-1,-1,-1,24120063,2880517,15009970,337478
