RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8204843,4639,739.149,-1,-1,-1,-1,5899326,639700,699,610
9,Bayern,9717177,4637,740.371,-1,-1,-1,-1,7109930,763019,993,1395
11,Berlin,2842598,1969,774.657,-1,-1,-1,-1,2031401,329929,343,418
12,Brandenburg,1755419,914,696.072,-1,-1,-1,-1,1237328,153305,179,105
4,Bremen,613509,434,900.627,-1,-1,-1,-1,420016,45663,140,9
2,Hamburg,1537867,885,832.516,-1,-1,-1,-1,1104777,129776,274,106
6,Hessen,4825452,2806,767.397,-1,-1,-1,-1,3443119,407142,296,364
13,Mecklenburg-Vorpommern,1196547,1344,744.057,-1,-1,-1,-1,884091,99245,116,144
3,Niedersachsen,6273838,5554,784.857,-1,-1,-1,-1,4187920,516034,482,494
5,Nordrhein-Westfalen,14403548,6308,802.550,-1,-1,-1,-1,10381977,908225,955,553
7,Rheinland-Pfalz,3176104,5057,775.813,-1,-1,-1,-1,2319682,242163,231,160
10,Saarland,810885,671,821.659,-1,-1,-1,-1,611651,65753,97,95
14,Sachsen,2649868,2343,650.758,-1,-1,-1,-1,1996346,241879,269,694
15,Sachsen-Anhalt,1567857,926,714.357,-1,-1,-1,-1,1120310,146531,172,284
1,Schleswig-Holstein,2340646,1576,806.071,-1,-1,-1,-1,1655201,191196,241,177
16,Thüringen,1487069,1761,697.049,-1,-1,-1,-1,1079902,141185,147,187
0,Gesamt,63605123,41824,764.791,-1,-1,-1,-1,45573144,5104072,5636,5795
