RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8220173,6617,740.530,-1,-1,-1,-1,5910460,641524,405,4140
9,Bayern,9732928,6876,741.571,-1,-1,-1,-1,7122496,763823,341,6122
11,Berlin,2849017,2554,776.407,-1,-1,-1,-1,2036730,330239,90,2051
12,Brandenburg,1758195,1502,697.173,-1,-1,-1,-1,1239342,153451,43,829
4,Bremen,614915,500,902.691,-1,-1,-1,-1,421128,45849,24,351
2,Hamburg,1543313,1132,835.464,-1,-1,-1,-1,1109666,130010,1877,851
6,Hessen,4835723,3867,769.030,-1,-1,-1,-1,3451699,407733,167,2797
13,Mecklenburg-Vorpommern,1198610,1712,745.340,-1,-1,-1,-1,885523,99486,64,1146
3,Niedersachsen,6284948,6709,786.247,-1,-1,-1,-1,4196624,517211,194,4775
5,Nordrhein-Westfalen,14431814,8370,804.125,-1,-1,-1,-1,10404476,910442,367,5787
7,Rheinland-Pfalz,3181982,5655,777.249,-1,-1,-1,-1,2324227,242728,83,3555
10,Saarland,811891,786,822.679,-1,-1,-1,-1,612440,65845,23,666
14,Sachsen,2654671,3451,651.938,-1,-1,-1,-1,1999777,242099,116,2561
15,Sachsen-Anhalt,1570659,1316,715.633,-1,-1,-1,-1,1122392,146735,61,1128
1,Schleswig-Holstein,2343957,2034,807.211,-1,-1,-1,-1,1657768,191472,103,1753
16,Thüringen,1489727,2485,698.295,-1,-1,-1,-1,1081684,141273,58,1474
0,Gesamt,63724585,55596,766.227,-1,-1,-1,-1,45666725,5113256,4016,39986
