RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8037735,6443,724.095,-1,-1,-1,-1,5758867,622436,7365810,5091331
9,Bayern,9519847,8115,725.336,-1,-1,-1,-1,6936650,746298,8850585,5730685
11,Berlin,2782832,2295,758.370,-1,-1,-1,-1,1982848,324344,2555615,1665472
12,Brandenburg,1720268,1625,682.134,-1,-1,-1,-1,1207877,149207,1553088,981583
4,Bremen,599568,632,880.162,-1,-1,-1,-1,408802,43906,528128,335815
2,Hamburg,1483822,1514,803.259,-1,-1,-1,-1,1058042,125405,1334723,763259
6,Hessen,4706460,5251,748.473,-1,-1,-1,-1,3339268,396421,4218197,2609427
13,Mecklenburg-Vorpommern,1171362,1142,728.396,-1,-1,-1,-1,863831,95967,1077121,683271
3,Niedersachsen,6123895,5544,766.099,-1,-1,-1,-1,4055332,506258,5477784,3966024
5,Nordrhein-Westfalen,14112778,9310,786.349,-1,-1,-1,-1,10130696,881937,12702172,8529713
7,Rheinland-Pfalz,3105831,2550,758.648,-1,-1,-1,-1,2261411,236126,2768704,1917420
10,Saarland,796396,782,806.978,-1,-1,-1,-1,600056,64176,723967,531931
14,Sachsen,2591432,2922,636.407,-1,-1,-1,-1,1946579,236020,2394700,1450287
15,Sachsen-Anhalt,1531392,1293,697.742,-1,-1,-1,-1,1090886,140873,1399497,837557
1,Schleswig-Holstein,2286345,1629,787.370,-1,-1,-1,-1,1607182,186749,2100188,1433369
16,Thüringen,1455170,1541,682.097,-1,-1,-1,-1,1052904,139163,1322215,839181
0,Gesamt,62225649,52670,748.204,-1,-1,-1,-1,44390122,4978515,56555504,37476517
