RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,7988160,6882,719.629,-1,-1,-1,-1,5717702,615978,7277328,4632092
9,Bayern,9467437,8931,721.343,-1,-1,-1,-1,6891002,740183,8730496,5202714
11,Berlin,2764513,2872,753.378,-1,-1,-1,-1,1967616,321905,2513491,1469727
12,Brandenburg,1708234,1224,677.362,-1,-1,-1,-1,1197998,147307,1526566,853967
4,Bremen,594524,518,872.757,-1,-1,-1,-1,405236,43038,519754,285454
2,Hamburg,1472220,985,796.978,-1,-1,-1,-1,1047801,124529,1322553,636449
6,Hessen,4670655,3842,742.779,-1,-1,-1,-1,3308629,391742,4169154,2299530
13,Mecklenburg-Vorpommern,1163921,888,723.769,-1,-1,-1,-1,857846,94648,1060144,587175
3,Niedersachsen,6085201,3923,761.258,-1,-1,-1,-1,4021001,502275,5406949,3502758
5,Nordrhein-Westfalen,14015759,7816,780.943,-1,-1,-1,-1,10046845,872076,12535943,7654366
7,Rheinland-Pfalz,3081343,1963,752.666,-1,-1,-1,-1,2240797,233089,2727377,1685230
10,Saarland,790920,737,801.429,-1,-1,-1,-1,595777,63167,714202,467219
14,Sachsen,2570974,2191,631.383,-1,-1,-1,-1,1929991,232376,2358940,1274465
15,Sachsen-Anhalt,1523054,775,693.943,-1,-1,-1,-1,1084632,138911,1379452,752641
1,Schleswig-Holstein,2272349,2481,782.550,-1,-1,-1,-1,1594981,185021,2070800,1239228
16,Thüringen,1444205,1562,676.957,-1,-1,-1,-1,1043264,138191,1298487,734928
0,Gesamt,61813677,47594,743.250,-1,-1,-1,-1,44039711,4927659,55793669,33376080
