RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,8206769,4914,739.322,-1,-1,-1,-1,5900631,640001,347,669
9,Bayern,9719405,5085,740.541,-1,-1,-1,-1,7111547,763141,191,1523
11,Berlin,2843319,2053,774.854,-1,-1,-1,-1,2031946,330018,215,443
12,Brandenburg,1755760,1024,696.207,-1,-1,-1,-1,1237546,153317,10,125
4,Bremen,613701,434,900.909,-1,-1,-1,-1,420173,45692,23,9
2,Hamburg,1538143,914,832.665,-1,-1,-1,-1,1104992,129804,35,175
6,Hessen,4826442,2924,767.554,-1,-1,-1,-1,3443938,407190,80,424
13,Mecklenburg-Vorpommern,1196698,1365,744.151,-1,-1,-1,-1,884198,99268,15,147
3,Niedersachsen,6274917,5702,784.992,-1,-1,-1,-1,4188749,516132,40,507
5,Nordrhein-Westfalen,14405906,6556,802.682,-1,-1,-1,-1,10383802,908498,156,662
7,Rheinland-Pfalz,3176964,5104,776.023,-1,-1,-1,-1,2320451,242198,470,176
10,Saarland,811010,694,821.786,-1,-1,-1,-1,611732,65774,0,264
14,Sachsen,2650377,2466,650.883,-1,-1,-1,-1,1996706,241903,3,763
15,Sachsen-Anhalt,1568056,957,714.447,-1,-1,-1,-1,1120446,146562,2,304
1,Schleswig-Holstein,2341011,1679,806.196,-1,-1,-1,-1,1655414,191245,3,271
16,Thüringen,1487547,2040,697.273,-1,-1,-1,-1,1080079,141197,0,227
0,Gesamt,63617998,43940,764.945,-1,-1,-1,-1,45582565,5105267,1590,6689
